Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
    0 to 5 years (%),17.7,12.7,15.6,8.5,12.1,14.7,9.9,13.7,7.4,11,13.3,15.3,11.3,11.7,10.2,16.8,13.7,15.5,26.2,11.8,10.4,11.8,19.3,14.6,10.9,9.3,14.8,19.3,18.1,14.9,11.7,9.2,16.5,10
  18 to 64 years (%),12.5,8.3,11.2,5.8,9,10.6,8.1,9.7,6,9.2,10.7,8.8,10.6,9.5,8.5,11.8,9.7,12,14.7,8.2,6.7,10.5,11.5,9.7,9.2,7.5,10.4,11.4,13.2,11.9,8.4,6.6,10.2,7.6
  65 years and over (%),13.8,11.7,13.2,8.1,14.6,12.3,11.4,12,8.2,10.6,12.9,11.9,10,10.2,10.8,12.1,10.8,14.8,13.1,9.5,10,11.3,15.9,11.2,14.6,9.9,12.1,11.4,19.6,16.9,10.8,9.4,11.5,12.2
Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,107835,141905,101765,691230,205955,169885,114790,560915,589770,184225,165855,140370,201355,124170,176650,493325,469455,123600,59980,1000940,1439075,143255,74535,193220,104230,587750,1013675,140755,31450,2761285,579385,303415,415725,1165380
  0 to 17 years,18055,29650,20080,151180,40730,32245,22630,109880,136980,28755,29250,29615,35440,23190,30945,99890,85530,20685,11340,202130,295155,25100,14685,35510,19900,114085,207865,24810,5865,461805,122190,64115,84305,236730
    0 to 5 years,5520,9270,6205,46960,12970,10685,7235,35170,36800,8975,9140,9825,11010,7475,9645,30695,26510,6220,3480,59530,86510,7820,4360,10715,6580,35815,65845,7885,1955,148490,38300,20260,24815,63945
  18 to 64 years,61600,86070,58665,433255,121700,94585,65785,352460,362120,102605,95560,79600,122205,71310,101555,307790,278565,72230,35610,638295,937955,83465,45580,117590,60855,355605,604715,85780,18035,1842580,370980,188905,254120,735375
  65 years and over,28175,26185,23020,106795,43525,43060,26370,98575,90670,52865,41040,31150,43710,29675,44150,85650,105360,30685,13030,160515,205965,34695,14265,40125,23480,118055,201095,30165,7550,456895,86210,50400,77300,193280
"In low income based on the Low-income cut-offs, after tax (LICO-AT)",4530,4835,3385,20070,5645,5170,2460,34935,22645,4785,5640,4125,9430,4210,4365,28635,18645,4620,1695,59550,77650,6180,2535,7110,2585,16445,43400,6420,1180,241115,35685,9675,18295,58845
  0 to 17 years,590,865,455,4160,930,1015,380,6550,5695,665,765,930,1005,535,580,5010,2890,595,315,11235,14260,635,440,1075,365,2640,7955,1015,205,35505,6460,1515,3180,12515
    0 to 5 years,195,290,160,1280,310,375,140,2260,1310,200,225,385,320,155,160,1550,890,175,100,3615,4415,185,140,355,115,775,2660,400,75,11615,2120,470,1045,3240
  18 to 64 years,3585,3600,2680,14075,4180,3570,1810,25180,14450,3535,4360,2765,7860,3290,3315,22040,14115,3650,1245,43195,56260,5105,1940,5595,1950,12285,32335,5015,900,179930,26695,7415,13700,38045
  65 years and over,355,370,255,1835,540,590,275,3205,2500,590,525,435,570,385,475,1585,1640,375,135,5120,7130,445,150,440,265,1520,3110,385,80,25685,2535,745,1410,8285
"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",4.2,3.4,3.3,2.9,2.7,3.1,2.1,6.2,3.8,2.6,3.4,2.9,4.7,3.4,2.5,5.8,4,3.7,2.8,6,5.4,4.3,3.4,3.7,2.5,2.8,4.3,4.6,3.8,8.7,6.2,3.2,4.4,5.1
  0 to 17 years (%),3.3,2.9,2.3,2.8,2.3,3.1,1.7,6,4.2,2.3,2.6,3.1,2.8,2.3,1.9,5,3.4,2.9,2.8,5.6,4.8,2.5,3,3,1.9,2.3,3.8,4.1,3.5,7.7,5.3,2.4,3.8,5.3
    0 to 5 years (%),3.5,3.1,2.6,2.7,2.4,3.5,2,6.4,3.6,2.2,2.4,3.9,2.9,2.1,1.6,5.1,3.4,2.8,2.8,6.1,5.1,2.4,3.2,3.3,1.8,2.2,4,5,4,7.8,5.5,2.3,4.2,5.1
  18 to 64 years (%),5.8,4.2,4.6,3.3,3.4,3.8,2.8,7.1,4,3.5,4.6,3.5,6.4,4.6,3.3,7.2,5.1,5.1,3.5,6.8,6,6.1,4.3,4.8,3.2,3.5,5.4,5.9,5,9.8,7.2,3.9,5.4,5.2
  65 years and over (%),1.3,1.4,1.1,1.7,1.2,1.4,1,3.3,2.8,1.1,1.3,1.4,1.3,1.3,1.1,1.9,1.6,1.2,1,3.2,3.5,1.3,1.1,1.1,1.1,1.3,1.6,1.3,1.1,5.6,2.9,1.5,1.8,4.3
Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,110975,142680,102090,691355,205955,171260,114790,560915,589770,184765,168390,140370,201355,126050,176650,493460,469455,126210,76105,1000940,1439075,144840,79765,198945,104710,589660,1015180,150355,31760,2761285,579385,303415,415725,1165615
  In bottom half of the distribution,60715,71935,59070,274020,102020,85680,56450,271295,193995,92120,93815,71640,98655,60680,83865,263280,248615,69575,39615,380325,644660,76430,39505,93450,53080,273900,529070,75015,17335,1385785,271515,127235,212490,458910
    In bottom decile,12945,11980,10270,41730,18060,16650,8740,54340,34910,15515,17325,11925,20415,11120,14440,58305,44225,14345,11145,86925,113395,15310,9135,19050,9290,44490,102205,17480,3970,348260,52450,21755,41280,91010
    In second decile,13490,14155,12940,48755,21650,17845,10850,54355,34005,18550,19800,13980,19265,12035,16155,53005,50180,15120,7710,70295,117930,15470,8525,18400,10425,52810,105605,15190,4210,287820,52045,23150,43990,88890
    In third decile,12270,14985,12885,55645,20655,17425,11745,54115,37165,18795,19425,15070,19095,12335,17075,51685,52300,13990,6915,70060,131095,15420,7505,18805,10695,56410,107880,14370,3185,265080,53865,25305,43510,89480
    In fourth decile,11245,15630,12115,60815,20315,17085,12210,54435,41275,19450,18915,15540,19865,12440,17845,50470,51055,13160,7020,72780,137155,15165,7450,18520,11315,59515,107220,13860,2995,245925,54950,27520,42380,92150
    In fifth decile,10765,15185,10865,67075,21335,16675,12910,54055,46640,19810,18340,15125,20020,12745,18345,49815,50850,12960,6825,80270,145085,15060,6895,18670,11360,60675,106160,14120,2980,238700,58210,29500,41325,97380
  In top half of the distribution,50255,70745,43025,417330,103935,85580,58340,289615,395775,92645,74575,68730,102700,65370,92785,230175,220840,56635,36490,620610,794415,68410,40260,105495,51630,315760,486110,75340,14420,1375505,307865,176180,203235,706700
    In sixth decile,10720,15745,10145,71895,21600,16810,13340,56765,52630,19905,17835,15525,20610,12730,18850,48105,49190,12525,7060,88850,151980,14855,7605,19385,11695,64255,105200,15035,2910,234350,59885,31950,40965,105575
    In seventh decile,10980,15280,9595,78830,22065,16655,12800,57810,61100,19815,16670,14800,20580,13310,19500,47295,47230,12260,7230,100465,158455,14150,8075,20875,11915,65535,101810,15700,3090,236815,61840,33585,40245,117130
    In eighth decile,10585,14810,9225,86580,22410,16705,12650,59605,71815,19160,15430,14435,21405,13365,19380,47150,44910,11850,7605,117410,163595,13980,8480,22055,10900,65845,100005,15615,3120,245465,63460,36340,41065,133765
    In ninth decile,10430,14530,8130,93565,22180,17250,11390,60825,89125,18085,13855,13480,21265,13435,19505,45880,42880,10780,8135,146625,168660,13670,9100,23595,9930,64595,96140,16020,3035,268610,63975,38700,40745,159340
    In top decile,7545,10380,5930,86465,15675,18165,8160,54610,121110,15680,10785,10485,18845,12530,15550,41750,36635,9225,6465,167260,151725,11750,7000,19590,7190,55535,82960,12965,2270,390265,58715,35605,40210,190890
Total - Inequality measures for the population in private households - 100% data,110970,142680,102095,691355,205955,171260,114785,560915,589770,184770,168390,140375,201355,126045,176650,493460,469455,126210,76100,1000935,1439080,144840,79765,198950,104715,589660,1015180,150360,31760,2761285,579380,303415,415720,1165615
  Gini index on adjusted household total income,0.318,0.302,0.31,0.307,0.301,0.354,0.293,0.332,0.376,0.32,0.313,0.304,0.327,0.326,0.311,0.339,0.318,0.326,0.345,0.345,0.314,0.32,0.321,0.318,0.297,0.313,0.326,0.319,0.328,0.437,0.329,0.322,0.332,0.36
  Gini index on adjusted household market income,0.47,0.425,0.455,0.41,0.424,0.472,0.412,0.453,0.451,0.448,0.456,0.413,0.44,0.444,0.428,0.46,0.456,0.47,0.466,0.43,0.422,0.451,0.448,0.434,0.419,0.428,0.444,0.442,0.472,0.555,0.431,0.412,0.462,0.462
  Gini index on adjusted household after-tax income,0.28,0.265,0.273,0.266,0.267,0.306,0.259,0.292,0.318,0.279,0.274,0.27,0.286,0.283,0.274,0.296,0.28,0.285,0.31,0.301,0.273,0.28,0.284,0.279,0.262,0.273,0.285,0.283,0.289,0.371,0.287,0.28,0.298,0.31
  P90/P10 ratio on adjusted household after-tax income,3.7,3.4,3.4,3.4,3.5,3.9,3.3,3.8,4,3.5,3.4,3.4,3.6,3.6,3.5,3.8,3.5,3.7,4.5,4,3.4,3.6,3.9,3.7,3.4,3.4,3.6,3.9,3.9,4.7,3.6,3.4,3.8,4
Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,111740,143515,103310,692975,207855,172460,115840,563815,591845,186205,169540,141175,202405,126885,177825,495755,472790,127825,76595,1006965,1441775,146045,80200,200330,106540,593135,1020595,151080,31970,2772625,582210,304850,419165,1167855
  English only,98310,135920,95470,634385,92865,161880,111505,520350,527855,175835,157995,135385,178310,118620,153720,454020,435160,97075,72740,610180,1300645,135640,37770,130170,92670,551030,952720,137940,21530,2409655,534055,279725,369770,1024110
  French only,330,25,45,580,10340,35,20,410,360,25,180,15,235,60,110,335,310,740,40,14275,1010,25,2955,1685,230,290,435,205,495,2555,260,90,500,475
  English and French,12700,6445,7150,50385,104200,9540,3745,32625,54210,9990,10885,4750,23015,7825,23790,32975,33420,29845,3680,367035,81960,9970,39325,67995,13490,37680,55680,12315,9885,236915,36705,21945,39430,74625
  Neither English nor French,405,1125,645,7625,455,1000,565,10435,9415,365,475,1025,850,380,205,8430,3895,170,135,15480,58160,410,150,470,150,4140,11755,625,55,123500,11185,3085,9465,68640
Total - First official language spoken for the total population excluding institutional residents - 100% data,111740,143515,103310,692975,207855,172460,115840,563815,591845,186205,169540,141175,202405,126885,177825,495755,472790,127825,76595,1006965,1441775,146045,80200,200330,106540,593135,1020595,151080,31970,2772625,582210,304850,419165,1167855
  English,105760,140945,100660,673370,127950,169880,114380,545080,569530,183850,165640,139385,195410,124480,171230,479785,457310,109715,75415,824555,1360570,144175,48740,156435,101140,578135,997185,146435,25500,2590350,562955,298210,398485,1082665
  French,5405,1225,1920,9345,77095,1440,855,6410,8435,1905,3235,700,5490,1885,6055,5350,10440,17470,1025,141560,12390,1285,30495,42260,4980,9685,9095,3885,6305,38700,5630,2910,8910,8060
  English and French,215,245,110,2880,2420,180,55,2200,4700,120,220,95,710,185,365,2445,1280,490,40,25845,11585,200,835,1195,285,1290,2930,195,120,22190,2705,745,2505,9400
  Neither English nor French,365,1095,620,7385,400,955,545,10130,9180,335,440,995,805,340,170,8175,3760,150,110,15005,57235,380,125,430,130,4020,11380,570,40,121395,10915,2985,9270,67725
Total - Mother tongue for the total population excluding institutional residents - 100% data,111740,143515,103310,692975,207855,172460,115840,563815,591845,186205,169540,141175,202405,126885,177825,495755,472790,127825,76595,1006965,1441775,146045,80200,200330,106540,593135,1020595,151080,31970,2772625,582210,304850,419165,1167855
  Single responses,109550,140545,101655,665230,199495,170635,114365,542005,559500,184545,167290,139760,198615,125110,175350,477970,460430,124570,75130,944105,1322070,144115,76030,192200,104735,579545,996130,147485,31075,2588515,559975,296980,402580,1098155
    Official languages,101750,124185,93380,539875,189915,157650,104645,408940,394260,175950,158510,126435,181285,116890,168895,372460,392975,119505,68575,711895,659815,135740,71365,179630,100325,509555,841410,130955,29990,1425800,408650,248905,307510,538180
      English,96000,122920,91210,530795,114205,156100,103690,402745,386360,173865,155185,125655,175830,114840,162685,367325,382035,101770,67400,585865,649275,134355,41025,137070,95110,499335,832150,126850,23605,1391680,403065,245890,298385,531000
      French,5750,1260,2170,9075,75715,1550,955,6195,7900,2090,3320,785,5450,2050,6215,5135,10940,17740,1170,126035,10535,1390,30345,42560,5210,10220,9260,4105,6385,34120,5585,3015,9130,7180
    Non-official languages,7800,16365,8275,125350,9580,12985,9725,133065,165240,8595,8780,13315,17325,8220,6450,105515,67460,5065,6555,232205,662260,8370,4665,12570,4410,69990,154715,16530,1090,1162715,151330,48075,95070,559980
      Indigenous languages,355,165,35,25,95,165,10,55,10,30,30,5,50,50,55,85,50,250,4280,595,20,75,1980,1055,25,205,270,4310,20,270,30,20,40,20
        Algonquian languages,350,100,30,20,5,160,0,25,5,25,15,5,30,45,10,50,30,230,4270,205,15,70,1965,1045,15,180,220,4300,15,225,15,20,30,20
          Blackfoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
          Cree-Innu languages,20,5,5,10,0,5,0,5,0,10,0,0,20,0,10,10,10,110,160,115,5,10,1890,55,10,15,20,260,5,75,5,5,5,0
            Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Cree languages,20,5,5,10,0,5,0,5,0,10,5,0,20,0,10,10,10,100,160,105,5,10,1890,55,10,15,15,260,5,70,5,5,5,0
              Ililimowin (Moose Cree),5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,80,5,0,0,0,5,0,0,0,0,0,0
              Inu Ayimun (Southern East Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Iyiyiw-Ayimiwin (Northern East Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,0,15,10,0,0,0,5,0,0,0,0,0,0
              Nehinawewin (Swampy Cree),5,5,0,0,0,0,0,0,0,5,0,0,5,0,5,5,0,40,15,35,0,5,330,15,0,5,10,40,5,30,0,5,0,0
              Nehiyawewin (Plains Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,5,0,0,0,0,0,0,5,0,0,0,0
              Nihithawiwin (Woods Cree),0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,15,0,10,0,0,0,0
"              Cree, n.o.s.",5,0,5,10,0,0,0,0,0,5,0,0,10,0,5,5,5,45,135,30,0,0,1455,25,5,5,5,200,0,30,0,0,0,0
            Innu (Montagnais),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Eastern Algonquian languages,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,5,0,0,0,20,5,5,0,0,0,0,5,5,0,5,0,0,0,0
            Mi'kmaq,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,5,0,0,0,15,5,5,0,0,0,0,5,5,0,5,0,0,0,0
            Wolastoqewi (Malecite),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ojibway-Potawatomi languages,330,100,30,10,5,155,0,20,5,10,5,0,10,45,5,35,15,125,4110,70,0,65,80,990,10,160,195,4035,10,140,10,10,25,15
            Anicinabemowin (Algonquin),0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,5,0,0,0,0,5,0,0,0,0,0
            Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1485,5,0,0,10,5,0,0,5,2705,0,5,0,0,0,0
            Ojibway languages,330,100,30,10,0,155,0,20,5,15,5,5,5,45,5,25,15,125,2625,55,0,60,60,970,10,165,190,1325,5,130,5,10,25,15
              Anishinaabemowin (Chippewa),20,0,0,0,0,5,0,0,0,5,0,0,0,5,0,5,0,20,45,5,0,15,0,85,0,20,10,10,0,20,0,5,0,5
              Daawaamwin (Odawa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,50,0,0,0,5,0,5,0,0,0,0
              Saulteau (Western Ojibway),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Ojibway, n.o.s.",305,100,30,5,0,145,0,15,5,10,5,5,0,40,5,20,15,105,2565,45,0,50,60,845,10,145,175,1305,5,100,5,5,25,10
"          Algonquian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,5
          Northern Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,5
            Dakelh (Carrier),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dane-zaa (Beaver),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Dene, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5
            Gwich'in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
              Deh Gah Ghotie Zhatie (South Slavey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Satuotine Yati (North Slavey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Kaska (Nahani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Tahltan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tlicho (Dogrib),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tse'khene (Sekani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tsilhqot'in (Chilcotin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tsuu T'ina (Sarsi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Tutchone, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Wetsuwet'en-Babine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Haida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Inuktut (Inuit) languages,5,0,0,0,20,5,0,5,0,5,5,0,5,0,35,5,5,5,0,365,0,5,5,5,5,5,5,0,0,10,5,0,5,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Inuinnaqtun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Inuvialuktun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,5,0,0,0,20,5,0,5,0,0,5,0,5,0,35,0,5,5,0,360,0,5,5,5,5,5,5,0,0,10,5,0,5,0
"          Inuktut (Inuit) languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Iroquoian languages,5,60,0,0,55,0,5,20,0,0,15,0,10,0,0,35,15,0,0,10,0,0,0,0,0,5,40,0,0,10,5,0,5,0
          Cayuga,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mohawk,5,35,0,0,55,0,5,15,0,0,15,0,10,0,0,0,10,0,0,10,0,0,0,0,0,5,0,0,0,10,5,0,0,0
          Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ktunaxa (Kutenai),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Michif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ntlakapamux (Thompson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Secwepemctsin (Shuswap),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Squamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Syilx (Okanagan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Salish languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Siouan languages,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
          Assiniboine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
          Tsimshian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Kwak'wala (Kwakiutl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
